pub_year,author,english_title,translator,publisher,series,original_year,lcl_number
1950,Ammianus Marcellinus,Roman History Volume I: Books 14-19,J. C. Rolfe,Harvard University Press,Loeb Classical Library,380,L300
1940,Ammianus Marcellinus,Roman History Volume II: Books 20-26,J. C. Rolfe,Harvard University Press,Loeb Classical Library,380,L315
1939,Ammianus Marcellinus,Roman History Volume III: Books 27-31,J. C. Rolfe,Harvard University Press,Loeb Classical Library,380,L331
1996,Apuleius,"Metamorphoses (The Golden Ass) Volume I: Books 1-6",J. Arthur Hanson,Harvard University Press,Loeb Classical Library,170,L044
1996,Apuleius,"Metamorphoses (The Golden Ass) Volume II: Books 7-11",J. Arthur Hanson,Harvard University Press,Loeb Classical Library,170,L453
2017,Apuleius,"Apologia. Florida. De Deo Socratis",Christopher P. Jones,Harvard University Press,Loeb Classical Library,160,L534
1912,Augustine,"Confessions Volume I: Books 1-8",William Watts,Harvard University Press,Loeb Classical Library,400,L026
1912,Augustine,"Confessions Volume II: Books 9-13",William Watts,Harvard University Press,Loeb Classical Library,400,L027
1930,Augustine,Select Letters,James Houston Baxter,Harvard University Press,Loeb Classical Library,420,L239
1957,Augustine,"City of God Volume I: Books 1-3",George E. McCracken,Harvard University Press,Loeb Classical Library,426,L411
1963,Augustine,"City of God Volume II: Books 4-7",William M. Green,Harvard University Press,Loeb Classical Library,426,L412
1968,Augustine,"City of God Volume III: Books 8-11",David S. Wiesen,Harvard University Press,Loeb Classical Library,426,L413
1966,Augustine,"City of God Volume IV: Books 12-15",Philip Levine,Harvard University Press,Loeb Classical Library,426,L414
1965,Augustine,"City of God Volume V: Books 16-18.35",Eva M. Sanford; William M. Green,Harvard University Press,Loeb Classical Library,426,L415
1960,Augustine,"City of God Volume VI: Books 18.36-20",William M. Green,Harvard University Press,Loeb Classical Library,426,L416
1972,Augustine,"City of God Volume VII: Books 21-22",William M. Green,Harvard University Press,Loeb Classical Library,426,L417
1919,Ausonius,"Volume I: Books 1-17",Hugh G. Evelyn-White,Harvard University Press,Loeb Classical Library,380,L096
1921,Ausonius,"Volume II: Books 18-20. Paulinus Pellaeus: Eucharisticus",Hugh G. Evelyn-White,Harvard University Press,Loeb Classical Library,380,L115
1930,Bede,"Ecclesiastical History Volume I: Books 1-3",J. E. King,Harvard University Press,Loeb Classical Library,731,L246
1930,Bede,"Ecclesiastical History Volume II: Books 4-5",J. E. King,Harvard University Press,Loeb Classical Library,731,L248
1918,Boethius,"Theological Tractates. The Consolation of Philosophy",H. F. Stewart; E. K. Rand,Harvard University Press,Loeb Classical Library,524,L074
1917,Caesar,Gallic War,H. J. Edwards,Harvard University Press,Loeb Classical Library,-52,L072
1914,Caesar,Civil Wars,A. G. Peskett,Harvard University Press,Loeb Classical Library,-48,L039
1955,Caesar,"Alexandrian War. African War. Spanish War",A. G. Way,Harvard University Press,Loeb Classical Library,-45,L402
1913,Catullus; Tibullus,"Catullus. Tibullus. Pervigilium Veneris",F. W. Cornish; J. P. Postgate; J. W. Mackail,Harvard University Press,Loeb Classical Library,-54,L006
1934,Cato; Varro,On Agriculture,W. D. Hooper; Harrison Boyd Ash,Harvard University Press,Loeb Classical Library,-160,L283
1935,Celsus,"On Medicine Volume I: Books 1-4",W. G. Spencer,Harvard University Press,Loeb Classical Library,30,L292
1938,Celsus,"On Medicine Volume II: Books 5-6",W. G. Spencer,Harvard University Press,Loeb Classical Library,30,L304
1938,Celsus,"On Medicine Volume III: Books 7-8",W. G. Spencer,Harvard University Press,Loeb Classical Library,30,L336
1913,Cicero,On Duties,Walter Miller,Harvard University Press,Loeb Classical Library,-44,L030
1914,Cicero,On Ends,H. Rackham,Harvard University Press,Loeb Classical Library,-45,L040
1927,Cicero,Tusculan Disputations,J. E. King,Harvard University Press,Loeb Classical Library,-45,L141
1923,Cicero,"On Old Age. On Friendship. On Divination",William Armistead Falconer,Harvard University Press,Loeb Classical Library,-44,L154
1933,Cicero,"On the Nature of the Gods. Academica",H. Rackham,Harvard University Press,Loeb Classical Library,-45,L268
1928,Cicero,"The Republic. The Laws",Clinton W. Keyes,Harvard University Press,Loeb Classical Library,-51,L213
1942,Cicero,"On the Orator Books 1-2",E. W. Sutton; H. Rackham,Harvard University Press,Loeb Classical Library,-55,L348
1942,Cicero,"On the Orator Book 3. On Fate. Stoic Paradoxes. Divisions of Oratory",H. Rackham,Harvard University Press,Loeb Classical Library,-55,L349
1939,Cicero,"Brutus. Orator",G. L. Hendrickson; H. M. Hubbell,Harvard University Press,Loeb Classical Library,-46,L342
1954,Cicero,Rhetorica ad Herennium,Harry Caplan,Harvard University Press,Loeb Classical Library,-85,L403
1949,Cicero,"On Invention. Best Kind of Orator. Topics",H. M. Hubbell,Harvard University Press,Loeb Classical Library,-85,L386
1927,Cicero,"Pro Quinctio. Pro Roscio Amerino. Pro Roscio Comoedo. On the Agrarian Law",John Henry Freese,Harvard University Press,Loeb Classical Library,-70,L240
1928,Cicero,"Verrine Orations Volume I",L. H. G. Greenwood,Harvard University Press,Loeb Classical Library,-70,L221
1935,Cicero,"Verrine Orations Volume II",L. H. G. Greenwood,Harvard University Press,Loeb Classical Library,-70,L293
1927,Cicero,"Pro Lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio",H. Grose Hodge,Harvard University Press,Loeb Classical Library,-66,L198
1953,Cicero,"In Catilinam. Pro Murena. Pro Sulla. Pro Flacco",C. Macdonald,Harvard University Press,Loeb Classical Library,-63,L324
1923,Cicero,"Pro Archia. Post Reditum in Senatu. Post Reditum ad Quirites. De Domo Sua. De Haruspicum Responsis. Pro Plancio",N. H. Watts,Harvard University Press,Loeb Classical Library,-57,L158
1958,Cicero,"Pro Sestio. In Vatinium",R. Gardner,Harvard University Press,Loeb Classical Library,-56,L309
1958,Cicero,"Pro Caelio. De Provinciis Consularibus. Pro Balbo",R. Gardner,Harvard University Press,Loeb Classical Library,-56,L447
1953,Cicero,"Pro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro",N. H. Watts,Harvard University Press,Loeb Classical Library,-52,L252
2009,Cicero,"Philippics 1-6",D. R. Shackleton Bailey; John T. Ramsey; Gesine Manuwald,Harvard University Press,Loeb Classical Library,-43,L189
2009,Cicero,"Philippics 7-14",D. R. Shackleton Bailey; John T. Ramsey; Gesine Manuwald,Harvard University Press,Loeb Classical Library,-43,L507
1999,Cicero,"Letters to Atticus Volume I: Books 1-6",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-55,L007
1999,Cicero,"Letters to Atticus Volume II: Books 7-11",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-50,L008
1999,Cicero,"Letters to Atticus Volume III: Books 12-16",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-44,L097
1999,Cicero,"Letters to Atticus Volume IV",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-44,L491
2001,Cicero,"Letters to Friends Volume I: Letters 1-113",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-50,L205
2001,Cicero,"Letters to Friends Volume II: Letters 114-280",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-50,L216
2001,Cicero,"Letters to Friends Volume III: Letters 281-435",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-50,L230
2002,Cicero,"Letters to Quintus and Brutus. Letter Fragments. Invectives. Handbook of Electioneering",D. R. Shackleton Bailey,Harvard University Press,Loeb Classical Library,-50,L462
1922,Claudian,"Volume I: Panegyric on Probinus and Olybrius. Against Rufinus. War Against Gildo. Against Eutropius. Fescennine Verses. Epithalamium. Panegyrics on the Third and Fourth Consulships of Honorius. Panegyric on the Consulship of Manlius. On Stilicho's Consulship 1",Maurice Platnauer,Harvard University Press,Loeb Classical Library,400,L135
1922,Claudian,"Volume II: On Stilicho's Consulship 2-3. Panegyric on the Sixth Consulship of Honorius. The Gothic War. Shorter Poems. Rape of Proserpina",Maurice Platnauer,Harvard University Press,Loeb Classical Library,400,L136
1941,Columella,"On Agriculture Volume I: Books 1-4",Harrison Boyd Ash,Harvard University Press,Loeb Classical Library,65,L361
1954,Columella,"On Agriculture Volume II: Books 5-9",E. S. Forster; Edward H. Heffner,Harvard University Press,Loeb Classical Library,65,L407
1955,Columella,"On Agriculture Volume III: Books 10-12. On Trees",E. S. Forster; Edward H. Heffner,Harvard University Press,Loeb Classical Library,65,L408
1929,Cornelius Nepos,"On Great Generals. On Historians",J. C. Rolfe,Harvard University Press,Loeb Classical Library,-30,L467
1946,Curtius,"History of Alexander Volume I: Books 1-5",J. C. Rolfe,Harvard University Press,Loeb Classical Library,50,L368
1946,Curtius,"History of Alexander Volume II: Books 6-10",J. C. Rolfe,Harvard University Press,Loeb Classical Library,50,L369
1929,Florus,"Epitome of Roman History. Res Gestae Divi Augusti",Edward Seymour Forster,Harvard University Press,Loeb Classical Library,140,L231
1925,Frontinus,"Stratagems. Aqueducts of Rome",Charles E. Bennett; Mary B. McElwain,Harvard University Press,Loeb Classical Library,98,L174
1919,Fronto,"Correspondence Volume I",C. R. Haines,Harvard University Press,Loeb Classical Library,160,L112
1920,Fronto,"Correspondence Volume II",C. R. Haines,Harvard University Press,Loeb Classical Library,160,L113
1927,Gellius,"Attic Nights Volume I: Books 1-5",J. C. Rolfe,Harvard University Press,Loeb Classical Library,170,L195
1927,Gellius,"Attic Nights Volume II: Books 6-13",J. C. Rolfe,Harvard University Press,Loeb Classical Library,170,L200
1927,Gellius,"Attic Nights Volume III: Books 14-20",J. C. Rolfe,Harvard University Press,Loeb Classical Library,170,L212
1969,Herodian,"History of the Empire Volume I: Books 1-4",C. R. Whittaker,Harvard University Press,Loeb Classical Library,250,L454
1970,Herodian,"History of the Empire Volume II: Books 5-8",C. R. Whittaker,Harvard University Press,Loeb Classical Library,250,L455
1922,Historia Augusta,"Volume I",David Magie,Harvard University Press,Loeb Classical Library,400,L139
1924,Historia Augusta,"Volume II",David Magie,Harvard University Press,Loeb Classical Library,400,L140
1932,Historia Augusta,"Volume III",David Magie,Harvard University Press,Loeb Classical Library,400,L263
2004,Horace,"Odes and Epodes",Niall Rudd,Harvard University Press,Loeb Classical Library,-15,L033
1926,Horace,"Satires. Epistles. The Art of Poetry",H. Rushton Fairclough,Harvard University Press,Loeb Classical Library,-15,L194
